1. open,2. high,3. low,4. close,5. volume
338.09,341.61,334.98,336.75,1977087.0
333.52,336.16,329.25,335.44,2492004.0
333.38,338.495,330.74,331.07,3520821.0
347.02,347.77,333.12,334.57,4201677.0
343.98,350.9499,343.98,349.8,2213594.0
338.44,345.5,338.33,343.38,3324630.0
330.44,341.94,330.32,338.0,6459595.0
363.95,368.17,358.895,363.52,3032711.0
360.0,365.52,359.04,363.25,1810693.0
356.1,362.0,353.24,357.61,2085356.0
358.29,360.95,352.14,354.66,2929591.0
361.15,363.48,356.1677,357.93,2380716.0
362.65,362.91,352.88,358.32,2313776.0
363.02,363.455,357.18,359.88,2514069.0
372.97,374.46,362.1101,363.91,2170956.0
368.64,372.8425,362.68,365.63,2072870.0
372.63,373.37,366.9,371.98,2535736.0
366.2,372.62,364.39,372.07,2148522.0
375.03,377.16,365.51,371.9,2023462.0
379.11,382.01,372.89,373.47,2689034.0
372.5,381.0,371.79,379.3,2066322.0
377.37,381.03,368.88,369.79,2488163.0
365.49,376.07,364.6,375.79,2618575.0
362.31,364.99,361.48,364.83,1967217.0
367.48,367.93,362.64,363.74,1922595.0
364.62,367.22,363.53,366.43,2028629.0
358.72,364.81,357.8783,364.65,2262845.0
356.46,359.587,356.0,356.39,1637312.0
356.96,358.87,355.03,355.95,1774760.0
364.6,365.52,357.86,358.11,2051989.0
357.67,365.2,356.72,364.56,2616273.0
351.12,358.18,348.14,356.45,2563949.0
351.6,354.0,349.62,353.9,2207751.0
348.08,353.34,347.86,351.9,2528184.0
342.97,347.29,341.15,346.97,4406009.0
344.55,346.84,338.94,341.92,2108046.0
338.14,343.1,337.39,341.52,1817749.0
335.28,338.39,332.74,337.24,1610439.0
337.0,338.21,331.53,334.97,1862722.0
342.07,344.5,338.1,339.19,2307423.0
338.51,342.34,338.43,340.22,1732485.0
336.25,337.73,334.16,335.63,1542427.0
335.42,338.99,331.7401,333.53,2029966.0
335.6,340.26,334.79,338.65,1551197.0
334.0,337.77,333.6,336.7,1815536.0
331.0,334.89,330.1,333.96,2699773.0
327.39,331.68,326.99,329.56,1471162.0
326.98,327.945,323.77,327.63,1640875.0
323.65,327.24,322.25,325.38,1650017.0
323.0,325.08,322.05,323.88,1575227.0
321.0,323.37,320.34,322.09,1875783.0
312.9,317.82,312.9,317.14,1780222.0
317.26,319.0,312.74,313.74,2701572.0
323.72,328.3,321.44,321.91,2513347.0
315.95,323.21,315.46,323.07,2362937.0
316.01,317.85,313.97,316.71,1887095.0
315.79,316.0,310.79,312.84,2923359.0
317.21,323.09,316.51,321.63,2483602.0
322.0,322.33,315.57,317.16,2823170.0
324.67,326.43,321.4201,322.0,1986100.0
322.94,327.82,321.1,323.59,3202982.0
323.19,327.43,319.07,322.72,2826394.0
334.87,334.87,315.91,321.4,6557542.0
307.0,317.37,305.995,315.09,4661484.0
303.24,308.07,301.94,307.69,3196264.0
305.57,305.75,299.93,300.31,2812955.0
300.51,305.73,300.51,304.76,2150444.0
299.02,303.7,297.45,303.25,2101353.0
301.0,302.98,298.66,299.43,2920474.0
294.0,303.31,293.13,300.77,4647055.0
290.84,292.61,288.34,290.68,2762769.0
290.5,292.88,287.52,288.83,1866294.0
286.1,290.59,286.1,288.67,2072329.0
282.32,286.08,278.95,285.28,3115987.0
280.02,282.53,277.6601,281.9,2479261.0
278.83,282.02,276.94,278.63,3789153.0
288.88,290.205,285.6,287.23,3140086.0
295.27,295.83,288.93,290.41,1955694.0
294.6,295.595,289.41,292.06,1941352.0
292.15,294.55,291.4612,293.35,2048021.0
289.23,292.36,288.0,292.29,1974507.0
287.56,292.68,285.24,292.25,2369129.0
286.25,291.0,285.47,288.93,2393342.0
284.41,288.22,283.79,286.1,2995437.0
288.39,288.925,283.315,284.3,3043399.0
293.43,296.64,291.35,292.71,2433125.0
296.85,298.235,293.2,295.67,2300643.0
297.1,299.2,296.04,296.88,2267452.0
295.63,299.15,294.73,298.12,1841830.0
291.59,297.0899,291.0001,295.63,2019046.0
290.31,292.83,288.91,290.36,2833962.0
289.9,290.73,286.6,290.07,3209389.0
291.93,298.27,289.52,289.71,3818414.0
286.8,293.03,286.16,292.96,3206313.0
286.74,288.8763,284.57,285.71,2691728.0
280.1,286.85,279.9799,285.74,7321193.0
272.45,285.46,270.55,285.17,6464060.0
261.4,268.23,259.28,267.97,3708327.0
259.99,262.49,259.12,261.43,2375743.0
259.84,262.24,259.5,260.92,2898544.0
